schema_version,label_status,toutiao_group_id,title,topic_category,structural_form,title_has_number,title_is_question,title_has_direct_person,stakes_has_specific_amount_or_quantity,stakes_has_action_advice,evidence_note
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665240612924375567,第一批电车电池8年质保潮来临！,消费/维权,解读/分析,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665239147438801423,2026年财富中国500强出炉Q！,企业/商业动态,事件通报/新闻转述,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665235558906266112,女子临近退休差点多等11年领养老金！,职场/收入,案例叙事,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665232523324064296,老人赠房56岁女友被叫停！,社会民生/案件,案例叙事,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题含读者/人群指向；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665228349236642338,"酒店低价早餐券灰产:用差评换霸王餐,有商家卖出3万张获利数十万",消费/维权,案例叙事,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题含读者/人群指向；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665225595810267648,"女子买二手房吊顶流出血水,原房东疑因卖亏了在房中藏死鸡报复",社会民生/案件,案例叙事,TRUE,FALSE,FALSE,FALSE,TRUE,标题含数字；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665028458392699427,英国首相伯纳姆首秀：将启动40年来最大改革,科技/国际,事件通报/新闻转述,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665027189595472418,美国对加拿大产品加征50%关税！,科技/国际,事件通报/新闻转述,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665026244437721615,美股高开低走 芯片股反弹！,宏观经济/行业数据,事件通报/新闻转述,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665025015687037492,世界杯日均消耗15.84万亿Token！,科技/国际,解读/分析,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7665023722893345332,美国拟限制中国开源AI模型！,科技/国际,事件通报/新闻转述,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7664978427212038690,71岁奶奶救人被认定见义勇为！,社会民生/案件,案例叙事,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题含读者/人群指向；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7664976987963458082,SpaceX首份财报将至，真正要接受检验的是这门生意,企业/商业动态,解读/分析,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7664973953823162932,月租4600元的酒店，为什么开始有人住？,消费/维权,解读/分析,TRUE,TRUE,FALSE,TRUE,TRUE,标题含数字；标题设问；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7664970247287489039,卖一辆10万元的新车只赚1500元，这笔账到底怎么算？,企业/商业动态,解读/分析,TRUE,TRUE,FALSE,TRUE,TRUE,标题含数字；标题设问；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7664967246195851811,赣锋锂业等成立能源科技公司，普通人该看懂什么信号？,企业/商业动态,解读/分析,FALSE,TRUE,TRUE,TRUE,TRUE,标题设问；标题含读者/人群指向；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7664852815495365171,菲方围顶冲撞中方巡逻艇视频曝光！,科技/国际,事件通报/新闻转述,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7664673924667556402,一年超8万家面包店关停：为什么每天都有人买还是有人撑不下去？,企业/商业动态,解读/分析,TRUE,TRUE,FALSE,TRUE,TRUE,标题含数字；标题设问；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7664155354682393115,两类服务业增长超10%，小老板该重新理解轻资产！,宏观经济/行业数据,解读/分析,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题含读者/人群指向；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7664135733241790985,服务消费增长5.3%，为什么只卖商品越来越难赚钱？,宏观经济/行业数据,解读/分析,TRUE,TRUE,FALSE,TRUE,TRUE,标题含数字；标题设问；正文含具体数量/金额后果
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7663199715470672422,创业失败以后，还是愿意继续找老师、找陪跑、找圈子？,职场/收入,解读/分析,FALSE,TRUE,FALSE,TRUE,TRUE,标题设问；正文含具体数量/金额后果；正文含行动建议或判断指令
FEATURE_EXTRACTION_SCHEMA_V1,LOCKED_BLIND,7663153397356315146,为什么很多老板越来越忙，公司却越来越赚不到钱？,职场/收入,解读/分析,FALSE,TRUE,TRUE,TRUE,TRUE,标题设问；标题含读者/人群指向；正文含具体数量/金额后果
