schema_version,label_status,toutiao_group_id,title,accountability_target_clear,positionable_sides_present,reader_stake_link_explicit,evidence_note
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665609271308763675,特斯拉营收增长26%利润却下降,FALSE,FALSE,FALSE,无归责对象；无清晰双方对比；主要面向投资者，非普通读者桥接
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665608481654784539,亚马逊裁减AGI团队岗位,FALSE,FALSE,FALSE,无归责对象；无双方对比；面向AI从业者，较窄
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665607329580155442,年轻人为何少喝康师傅,FALSE,FALSE,FALSE,无归责对象；无清晰双方得失对比；结尾泛泛提问，无具体钱/工作/安全桥接
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665606245226643978,多款高端手机涨价超1000元,FALSE,FALSE,TRUE,无归责对象；无双方对比；直接给出换机建议
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665604390824264218,净网网警发布20起涉汛涉灾谣言案例,FALSE,FALSE,TRUE,造谣者笼统提及'已处理'不够具体；无双方对比；直接给出核实清单
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665580670458380850,求职者因过往民事诉讼被大厂拒聘,TRUE,TRUE,TRUE,企业背调范围不当导致拒聘，归责明确；求职者vs企业得失清楚；双向具体建议
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665251613124067875,TikTok Shop开始亲自替商家做运营,FALSE,TRUE,FALSE,无归责对象；代运营公司vs平台得失对比清楚；面向跨境电商从业者，较窄
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665250423296623139,上半年全国城镇新增就业695万人,FALSE,FALSE,TRUE,无归责对象；无双方对比；直接面向求职者
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665246616202265123,外卖补贴监管进入落地窗口,FALSE,TRUE,TRUE,征求意见稿层面无具体企业被归责；消费者/商家/骑手三方账清楚；直接提问
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665243979377689123,国家消费规划明确支持地域餐饮品牌,FALSE,FALSE,FALSE,无归责对象；无清晰双方对比；主要面向餐饮老板
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665240612924375567,第一批电车电池8年质保潮来临,FALSE,FALSE,TRUE,无归责对象；无双方对比；直接给购车/换车建议
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665239147438801423,2026年财富中国500强出炉,FALSE,FALSE,TRUE,无归责对象；无双方对比；直接面向求职者三个问题
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665235558906266112,女子临近退休差点多等11年领养老金,FALSE,FALSE,TRUE,工作人员是正面角色非归责对象；无双方对比；直接建议核对社保记录
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665232523324064296,老人赠房56岁女友被叫停,FALSE,FALSE,TRUE,公证处内部意见分歧非明确归责；无清晰得失双方，更像伦理困境；意定监护概念对读者有意义
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665228349236642338,酒店低价早餐券灰产用差评换霸王餐,TRUE,TRUE,TRUE,灰产卖家明确该负责；消费者/酒店vs卖家得失清楚；直接提醒识别信号
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665225595810267648,女子买二手房吊顶流出血水藏死鸡报复,TRUE,TRUE,TRUE,原房东报复行为明确归责；买家vs原房东得失清楚；给出交房验房建议
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665028458392699427,英国首相伯纳姆首秀40年最大改革,FALSE,FALSE,TRUE,无归责对象；无双方对比；末段解释为何普通人需要关心
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665027189595472418,美国对加拿大产品加征50%关税,FALSE,FALSE,TRUE,无具体归责对象（谁承担成本尚不确定）；多方but未形成清晰得失对比；提问消费者/商家关心
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665026244437721615,美股高开低走芯片股反弹,FALSE,FALSE,FALSE,无归责对象；无双方对比；泛泛提及不构成具体桥接
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665025015687037492,世界杯日均消耗15.84万亿Token,FALSE,FALSE,FALSE,无归责对象；无双方对比；泛泛列举职业不构成具体桥接
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7665023722893345332,美国拟限制中国开源AI模型,FALSE,FALSE,TRUE,无归责对象；无双方对比；给出设计师/职场人具体场景
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7664978427212038690,71岁奶奶救人被认定见义勇为,FALSE,FALSE,TRUE,正面故事无负面归责；无双方对比；引导读者反思自己会否施救
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7664976987963458082,SpaceX首份财报将至,FALSE,FALSE,FALSE,无归责对象；无双方对比；面向投资者/职场人较泛
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7664973953823162932,月租4600元的酒店为什么开始有人住,FALSE,FALSE,TRUE,无归责对象；无双方对比；生活成本计算对普通读者具体
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7664970247287489039,卖一辆10万元的新车只赚1500元,FALSE,TRUE,TRUE,无具体归责对象；车企vs供应链利润分配对比清楚；面向消费者/职场人具体提问
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7664967246195851811,赣锋锂业等成立能源科技公司,FALSE,FALSE,FALSE,无归责对象；无双方对比；反复强调'尚不能确认'，无具体桥接
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7664852815495365171,菲方围顶冲撞中方巡逻艇视频曝光,TRUE,TRUE,FALSE,菲方行为明确归责；中方vs菲方得失清楚；仅以类比方式联系'现实生活'，无具体钱/工作/安全机制
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7664673924667556402,一年超8万家面包店关停,FALSE,FALSE,TRUE,无归责对象；无双方对比；分消费者/从业者/创业者三类人具体说明
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7664155354682393115,两类服务业增长超10%小老板该重新理解轻资产,FALSE,FALSE,FALSE,无归责对象；无双方对比；面向创业者/小老板，较窄
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7664135733241790985,服务消费增长5.3%为什么只卖商品越来越难赚钱,FALSE,FALSE,FALSE,无归责对象；无双方对比；面向老板，较窄
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7663199715470672422,创业失败以后还是愿意继续找老师找陪跑,FALSE,FALSE,FALSE,无归责对象；无双方对比；面向创业者，较空泛
FEATURE_EXTRACTION_SCHEMA_V2_ACCOUNTABILITY,LOCKED_BLIND_V2,7663153397356315146,为什么很多老板越来越忙公司却越来越赚不到钱,FALSE,FALSE,FALSE,无归责对象；无双方对比；面向老板，较窄
