toutiao_group_id,title,impressions,reads,revenue,basic_income,subsidy_income,comments,favorites,word_count,publish_time_cn,topic_category,structural_form,title_has_number,title_is_question,title_has_direct_person,stakes_has_specific_amount_or_quantity,stakes_has_action_advice,evidence_note
7665607329580155442,年轻人为何少喝康师傅？,846,1,0,0,0,0,0,543,2026-07-23 18:00,企业/商业动态,解读/分析,FALSE,TRUE,TRUE,TRUE,TRUE,标题设问；标题含读者/人群指向；正文含具体数量/金额后果
7665606245226643978,多款高端手机涨价超1000元：新机越来越贵，还需要年年换吗？,788,0,0,0,0,1,0,562,2026-07-23 16:00,消费/维权,解读/分析,TRUE,TRUE,FALSE,TRUE,TRUE,标题含数字；标题设问；正文含具体数量/金额后果
7665604390824264218,净网：网警发布20起涉汛涉灾谣言案例！,7,0,0,0,0,0,0,524,2026-07-23 14:26,社会民生/案件,事件通报/新闻转述,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7665580670458380850,求职者因过往民事诉讼被大厂拒聘，过度背调引争议！,575,0,0,0,0,0,0,567,2026-07-23 12:55,职场/收入,案例叙事,FALSE,FALSE,TRUE,TRUE,TRUE,标题含读者/人群指向；正文含具体数量/金额后果；正文含行动建议或判断指令
7665251613124067875,TikTok Shop开始亲自替商家做运营，代运营行业可能被平台吞掉！,680,0,0,0,0,0,0,876,2026-07-22 23:55,企业/商业动态,解读/分析,FALSE,FALSE,TRUE,TRUE,TRUE,标题含读者/人群指向；正文含具体数量/金额后果；正文含行动建议或判断指令
7665250423296623139,上半年全国城镇新增就业695万人，同比持平！,700,1,0,0,0,0,0,689,2026-07-22 23:00,宏观经济/行业数据,解读/分析,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7665246616202265123,外卖补贴监管进入落地窗口，餐饮流量战将从补贴转向利润核算,1991,25,0.02,0.02,0,0,0,1226,2026-07-22 22:00,企业/商业动态,解读/分析,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
7665243979377689123,国家消费规划明确支持地域餐饮品牌和美食产业集群！,469,1,0,0,0,0,0,1113,2026-07-22 21:00,宏观经济/行业数据,事件通报/新闻转述,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
7665240612924375567,第一批电车电池8年质保潮来临！,563,3,0,0,0,0,0,720,2026-07-22 20:00,消费/维权,解读/分析,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7665239147438801423,2026年财富中国500强出炉Q！,453,2,0,0,0,0,0,619,2026-07-22 19:00,企业/商业动态,事件通报/新闻转述,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7665235558906266112,女子临近退休差点多等11年领养老金！,386,0,0,0,0,0,0,885,2026-07-22 18:00,职场/收入,案例叙事,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7665232523324064296,老人赠房56岁女友被叫停！,340,0,0,0,0,0,0,763,2026-07-22 17:00,社会民生/案件,案例叙事,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题含读者/人群指向；正文含具体数量/金额后果
7665228349236642338,"酒店低价早餐券灰产:用差评换霸王餐,有商家卖出3万张获利数十万",8932,2,0.01,0.01,0,0,0,1074,2026-07-22 15:00,消费/维权,案例叙事,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题含读者/人群指向；正文含具体数量/金额后果
7665225595810267648,"女子买二手房吊顶流出血水,原房东疑因卖亏了在房中藏死鸡报复",418,4,0,0,0,0,0,863,2026-07-22 13:54,社会民生/案件,案例叙事,TRUE,FALSE,FALSE,FALSE,TRUE,标题含数字；正文含行动建议或判断指令
7665028458392699427,英国首相伯纳姆首秀：将启动40年来最大改革,641,14,0,0,0,0,0,605,2026-07-22 09:00,科技/国际,事件通报/新闻转述,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7665027189595472418,美国对加拿大产品加征50%关税！,332,1,0,0,0,0,0,1072,2026-07-22 08:00,科技/国际,事件通报/新闻转述,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7665026244437721615,美股高开低走 芯片股反弹！,264,0,0,0,0,0,0,539,2026-07-22 07:00,宏观经济/行业数据,事件通报/新闻转述,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
7665025015687037492,世界杯日均消耗15.84万亿Token！,246,0,0,0,0,0,0,563,2026-07-22 06:00,科技/国际,解读/分析,TRUE,FALSE,FALSE,TRUE,TRUE,标题含数字；正文含具体数量/金额后果；正文含行动建议或判断指令
7665023722893345332,美国拟限制中国开源AI模型！,789,21,0,0,0,0,0,617,2026-07-22 02:00,科技/国际,事件通报/新闻转述,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
7664978427212038690,71岁奶奶救人被认定见义勇为！,288,2,0,0,0,0,0,669,2026-07-22 01:00,社会民生/案件,案例叙事,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题含读者/人群指向；正文含具体数量/金额后果
7664976987963458082,SpaceX首份财报将至，真正要接受检验的是这门生意,466,14,0,0,0,0,0,1660,2026-07-22 00:00,企业/商业动态,解读/分析,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
7664973953823162932,月租4600元的酒店，为什么开始有人住？,312,1,0,0,0,0,0,1048,2026-07-21 23:00,消费/维权,解读/分析,TRUE,TRUE,FALSE,TRUE,TRUE,标题含数字；标题设问；正文含具体数量/金额后果
7664970247287489039,卖一辆10万元的新车只赚1500元，这笔账到底怎么算？,357,6,0,0,0,1,1,1380,2026-07-21 22:00,企业/商业动态,解读/分析,TRUE,TRUE,FALSE,TRUE,TRUE,标题含数字；标题设问；正文含具体数量/金额后果
7664967246195851811,赣锋锂业等成立能源科技公司，普通人该看懂什么信号？,4270,269,0.09,0.05,0,0,1,2003,2026-07-21 21:11,企业/商业动态,解读/分析,FALSE,TRUE,TRUE,TRUE,TRUE,标题设问；标题含读者/人群指向；正文含具体数量/金额后果
7664852815495365171,菲方围顶冲撞中方巡逻艇视频曝光！,414,6,0,0,0,0,0,2036,2026-07-21 13:46,科技/国际,事件通报/新闻转述,FALSE,FALSE,FALSE,TRUE,TRUE,正文含具体数量/金额后果；正文含行动建议或判断指令
7664673924667556402,一年超8万家面包店关停：为什么每天都有人买还是有人撑不下去？,1963,4,0,0,0,0,0,1128,2026-07-21 02:12,企业/商业动态,解读/分析,TRUE,TRUE,FALSE,TRUE,TRUE,标题含数字；标题设问；正文含具体数量/金额后果
7664155354682393115,两类服务业增长超10%，小老板该重新理解轻资产！,420,0,0,0,0,0,1,1552,2026-07-19 16:37,宏观经济/行业数据,解读/分析,TRUE,FALSE,TRUE,TRUE,TRUE,标题含数字；标题含读者/人群指向；正文含具体数量/金额后果
7664135733241790985,服务消费增长5.3%，为什么只卖商品越来越难赚钱？,458,3,0,0,0,0,1,1622,2026-07-19 15:25,宏观经济/行业数据,解读/分析,TRUE,TRUE,FALSE,TRUE,TRUE,标题含数字；标题设问；正文含具体数量/金额后果
7663199715470672422,创业失败以后，还是愿意继续找老师、找陪跑、找圈子？,403,2,0,0,0,0,2,327,2026-07-17 09:00,职场/收入,解读/分析,FALSE,TRUE,FALSE,TRUE,TRUE,标题设问；正文含具体数量/金额后果；正文含行动建议或判断指令
7663153397356315146,为什么很多老板越来越忙，公司却越来越赚不到钱？,516,8,0,0,0,1,0,744,2026-07-16 23:55,职场/收入,解读/分析,FALSE,TRUE,TRUE,TRUE,TRUE,标题设问；标题含读者/人群指向；正文含具体数量/金额后果
